system bin_center bin_width bin_content err_stat err_syst
pAu 0.05 0.1 1.20418 0.0370839 0.00434799
pAu 0.15 0.1 1.18939 0.0248665 0.00363743
pAu 0.3 0.2 1.08213 0.0198349 0.0106867
pAu 0.5 0.2 1.01344 0.0441691 0.00762294
pAu 0.75 0.3 0.862127 0.119028 0.035834
pAu 0.95 0.1 -1e+09 0 0
pAl 0.05 0.1 1.20135 0.0380017 0.00422475
pAl 0.15 0.1 1.17428 0.0252512 0.00346477
pAl 0.3 0.2 1.09872 0.0207433 0.00962007
pAl 0.5 0.2 1.06047 0.0475926 0.0122397
pAl 0.75 0.3 0.859217 0.123043 0.0514901
pAl 0.95 0.1 -1e+09 0 0
