system bin_center bin_width bin_content err_stat err_syst
pAu 0.025 0.05 -1e+09 0 0
pAu 0.1 0.1 1.93585 0.264201 0.117983
pAu 0.225 0.15 1.05779 0.0974784 0.0214073
pAu 0.4 0.2 0.754293 0.0994871 0.0308625
pAu 0.6 0.2 0.634504 0.201715 0.32334
pAu 0.85 0.3 -1e+09 0.639231 0.189404
pAl 0.025 0.05 -1e+09 0 0
pAl 0.1 0.1 1.61712 0.225239 0.116609
pAl 0.225 0.15 1.04784 0.0993227 0.0167939
pAl 0.4 0.2 0.86414 0.117836 0.0429776
pAl 0.6 0.2 0.88168 0.289336 0.366236
pAl 0.85 0.3 -1e+09 0.84709 0.271286
