system bin_center bin_width bin_content err_stat err_syst
pAu 0.05 0.1 0.994169 0.0736597 0.0206557
pAu 0.15 0.1 1.1905 0.0646144 0.019949
pAu 0.3 0.2 1.08282 0.0429143 0.0125835
pAu 0.5 0.2 1.01671 0.0731162 0.0534845
pAu 0.75 0.3 1.10722 0.231793 0.265444
pAu 0.95 0.1 -1e+09 0.22319 0.0525254
pAl 0.05 0.1 0.967637 0.0742904 0.0220346
pAl 0.15 0.1 1.16628 0.0651459 0.0265954
pAl 0.3 0.2 1.0937 0.0446253 0.0162271
pAl 0.5 0.2 1.05027 0.077827 0.0427769
pAl 0.75 0.3 1.15389 0.248222 0.280277
pAl 0.95 0.1 -1e+09 0.181081 0.0739262
