system bin_center bin_width bin_content err_stat err_syst
pAu 0.05 0.1 1.2731 0.11622 0.017863
pAu 0.15 0.1 1.21866 0.0700221 0.0207888
pAu 0.3 0.2 1.16803 0.0504792 0.0294626
pAu 0.5 0.2 0.97737 0.0703173 0.00617386
pAu 0.75 0.3 1.03566 0.178201 0.0185059
pAu 0.95 0.1 -1e+09 0.196574 0.0338222
pAl 0.05 0.1 1.29444 0.12101 0.0198179
pAl 0.15 0.1 1.18655 0.069985 0.0156499
pAl 0.3 0.2 1.11542 0.0495846 0.0281189
pAl 0.5 0.2 0.997228 0.0739206 0.00637964
pAl 0.75 0.3 1.05423 0.186611 0.0287308
pAl 0.95 0.1 -1e+09 0.175114 0.0452143
