system bin_center bin_width bin_content err_stat err_syst
pAu 0.05 0.1 0.992993 0.0847291 0.0124025
pAu 0.15 0.1 1.10513 0.0648105 0.0233919
pAu 0.3 0.2 1.2593 0.0605646 0.0204263
pAu 0.5 0.2 1.09658 0.0997343 0.00654753
pAu 0.75 0.3 1.3232 0.419828 0.0507259
pAu 0.95 0.1 -1e+09 0 0
pAl 0.05 0.1 1.03574 0.0911637 0.0420074
pAl 0.15 0.1 1.09981 0.0664096 0.0175403
pAl 0.3 0.2 1.25509 0.061902 0.0226542
pAl 0.5 0.2 1.13452 0.106049 0.00706979
pAl 0.75 0.3 1.2974 0.421851 0.0825509
pAl 0.95 0.1 -1e+09 0 0
