system bin_center bin_width bin_content err_stat err_syst
pAu 0.025 0.05 -1e+09 0 0
pAu 0.1 0.1 1.5078 0.100255 0.0188858
pAu 0.225 0.15 1.28911 0.0559969 0.0185556
pAu 0.4 0.2 0.773107 0.035412 0.0239241
pAu 0.6 0.2 0.622468 0.0562911 0.0157906
pAu 0.8 0.2 0.367094 0.0678164 0.0300562
pAu 0.95 0.1 -1e+09 0 0
pAl 0.025 0.05 -1e+09 0 0
pAl 0.1 0.1 1.32065 0.0901721 0.023848
pAl 0.225 0.15 1.26132 0.0561892 0.0213483
pAl 0.4 0.2 0.860821 0.0408533 0.0249002
pAl 0.6 0.2 0.824515 0.0772918 0.0292128
pAl 0.8 0.2 0.475592 0.0933356 0.0418915
pAl 0.95 0.1 -1e+09 0 0
