system bin_center bin_width bin_content err_stat err_syst
pAu 0.025 0.05 -1e+09 0 0
pAu 0.1 0.1 1.32454 0.024771 0.0144725
pAu 0.225 0.15 1.03988 0.0192522 0.00837026
pAu 0.4 0.2 0.770233 0.0233739 0.00535147
pAu 0.6 0.2 0.634987 0.04875 0.0156378
pAu 0.8 0.2 0.425748 0.0785256 0.0218856
pAu 0.95 0.1 -1e+09 0 0
pAl 0.025 0.05 -1e+09 0 0
pAl 0.1 0.1 1.27443 0.0244524 0.00877156
pAl 0.225 0.15 1.07194 0.0204367 0.00397137
pAl 0.4 0.2 0.869816 0.0273405 0.00666048
pAl 0.6 0.2 0.814907 0.0648933 0.0330408
pAl 0.8 0.2 0.60373 0.116779 0.052734
pAl 0.95 0.1 -1e+09 0 0
