system bin_center bin_width bin_content err_stat err_syst
pAu 0.025 0.05 -1e+09 0 0
pAu 0.1 0.1 1.81157 0.170436 0.166468
pAu 0.225 0.15 1.18965 0.0513969 0.00849148
pAu 0.4 0.2 0.86503 0.0502796 0.014359
pAu 0.6 0.2 0.675684 0.0971498 0.0218693
pAu 0.8 0.2 0.700339 0.315152 0.0525254
pAu 0.95 0.1 -1e+09 0 0
pAl 0.025 0.05 -1e+09 0 0
pAl 0.1 0.1 1.60348 0.153864 0.13611
pAl 0.225 0.15 1.20783 0.0535593 0.0105638
pAl 0.4 0.2 0.928527 0.0558018 0.013337
pAl 0.6 0.2 0.819223 0.122198 0.0241392
pAl 0.8 0.2 1.03497 0.479096 0.147852
pAl 0.95 0.1 -1e+09 0 0
